TPA,BENEFL,Clarity Benefit Solutions,77 Brant Avenue,Suite 206,Clark,NJ,07066,,,,,
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20130101            ,20131231            ,,20140331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20140101            ,20141231            ,,20150331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20150101            ,20151231            ,,20160331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20160101            ,20161231            ,,20170331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20170101            ,20171231            ,,20180331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20190101            ,20191231            ,,20200731            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,DCP,DCA,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20050101            ,20051231            ,GRACE,20060415            ,,,
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20060101            ,20061231            ,,20070331            ,,,
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20070101            ,20071231            ,GRACE,20080415            ,,,
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20080101            ,20081231            ,GRACE,20090430            ,,,
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20090101            ,20091231            ,GRACE,20100415            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20100101            ,20101231            ,GRACE,20110415            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20110101            ,20111231            ,GRACE,20120415            ,,0.00,10000.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20120101            ,20121231            ,GRACE,20130415            ,,0.00,10000.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20130101            ,20131231            ,GRACE,20140415            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20140101            ,20141231            ,GRACE,20150415            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,2550.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20160101            ,20161231            ,GRACE,20170430            ,90,0.00,2550.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20170101            ,20171231            ,GRACE,20180430            ,90,0.00,2600.00
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20180101            ,20181231            ,GRACE,20190415            ,90,0.00,2650.10
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20190101            ,20191231            ,GRACE,20200731            ,90,0.00,2700.10
PLN,BENEFL,BENNYCCO,NYC & Company,FSA,MED,20200101            ,20201231            ,GRACE,20210415            ,90,0.00,2750.00
PLN,BENEFL,BENNYCCO,NYC & Company,PKG,PRK,20100101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,RO3,DCA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
PLN,BENEFL,BENNYCCO,NYC & Company,ROL,FSA-ROLL,20200101            ,20201231            ,,20210331            ,90,0.00,0.01
PLN,BENEFL,BENNYCCO,NYC & Company,TRN,TRN,20080101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENNYCCO,NYC & Company,TRN,TRN,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,TRP,TRP,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCCO,NYC & Company,UA5,TRN,20080101            ,20091231            ,,20100331            ,,0.00,0.00
EMP,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,135615576,c/o NYC District Council of Carpenters Welfare Fund,"395 Hudson Street, 9th Floor",New York,NY,10014,dramos@nyccbf.org,212-366-7519,
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,DCP,DCA,20180101            ,20181231            ,,20190331            ,,0.00,5001.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,DCP,DCA,20190101            ,20191231            ,,20200331            ,,0.00,5001.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,FSA,MED,20170101            ,20171231            ,,20180331            ,30,0.00,2600.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,FSA,MED,20180101            ,20181231            ,ROLLOVER,20190331            ,30,0.00,2650.10
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,FSA,MED,20190101            ,20191231            ,ROLLOVER,20200331            ,30,0.00,2700.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,PKG,PRK,20170101            ,20191231            ,,20191231            ,30,0.00,0.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,PKP,PKP,20170101            ,20191231            ,,20191231            ,30,0.00,0.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,ROL,FSAROL,20170101            ,20171231            ,,20180331            ,30,0.00,500.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,ROL,FSAROL,20180101            ,20181231            ,,20190331            ,30,0.00,500.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,ROL,FSAROL,20190101            ,20191231            ,,20200331            ,30,0.00,500.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,TRN,TRN,20170101            ,20191231            ,,20191231            ,30,0.00,0.00
PLN,BENEFL,BENNYCCWF,NYC DC of Carpenters Welfare Fund,TRP,TRP,20170101            ,20191231            ,,20191231            ,30,0.00,0.00
EMP,BENEFL,BENNYCN,New York Congregational Nursing Center,113188802,New York Congregational Nursing Center,135 Linden Blvd Attn. HR dept. - Sol Bernstein,Brooklyn,NY,11226,sbernstein@nycnc.org,718-576-7174,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20070101            ,20071231            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20080101            ,20081231            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20090101            ,20091231            ,GRACE,20100415            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20100101            ,20101231            ,GRACE,20110415            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20110101            ,20111231            ,,20120331            ,,0.00,5000.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20120101            ,20121231            ,,20130331            ,,0.00,5000.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20130101            ,20131231            ,,20140331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20140101            ,20141231            ,,20150331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20150101            ,20151231            ,,20160331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20160101            ,20161231            ,,20170331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20170101            ,20171231            ,,20180331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,DCP,DCA,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20070101            ,20071231            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20080101            ,20081231            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20090101            ,20091231            ,GRACE,20100415            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20100101            ,20101231            ,GRACE,20110415            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20110101            ,20111231            ,GRACE,20120415            ,,0.00,15000.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20120101            ,20121231            ,GRACE,20130430            ,,0.00,15000.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20130101            ,20131231            ,GRACE,20140430            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20140101            ,20141231            ,GRACE,20150415            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20150101            ,20151231            ,,20160331            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20160101            ,20161231            ,ROLLOVER,20170331            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20170101            ,20171231            ,ROLLOVER,20180331            ,90,0.00,2600.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20180101            ,20181231            ,ROLLOVER,20190331            ,90,0.00,2650.10
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,FSA,MED,20190101            ,20190822            ,ROLLOVER,20190822            ,90,0.00,2700.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,MF1,FUNDING-FSA,20170901            ,20181231            ,,20181231            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKG,PRK,20070101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKG,PRK,20080101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKG,PRK,20100101            ,20181231            ,,20181231            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKP,PKP,20070101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKP,PKP,20080101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,PKP,PKP,20100101            ,20181231            ,,20181231            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,ROL,FSAROLL,20150101            ,20160331            ,ROLLOVER,20160331            ,90,0.00,500.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,ROL,ROL,20160101            ,20161231            ,,20170331            ,90,0.00,500.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,ROL,ROL,20170101            ,20171231            ,,20180331            ,90,0.00,500.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,ROL,ROL,20180101            ,20181231            ,,20190331            ,90,0.00,500.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRN,TRN,20070101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRN,TRN,20080101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRN,TRN,20100101            ,20181231            ,ROLLOVER,20181231            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRP,TRP,20070101            ,20071227            ,,20080331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRP,TRP,20080101            ,20091231            ,,20100331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,TRP,TRP,20100101            ,20181231            ,,20181231            ,90,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA3,PRK,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA3,PRK,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA4,PKP,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA4,PKP,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA5,TRN,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA5,TRN,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA6,TRP,20070101            ,20081229            ,,20090331            ,,,
PLN,BENEFL,BENNYCN,New York Congregational Nursing Center,UA6,TRP,20090101            ,20101231            ,GRACE,20110331            ,,0.00,0.00
EMP,BENEFL,BENNYPL,New York Public Library,131887440,445 5th Avenue,,New York,NY,10016,jenniferlevesque@nypl.org,212-592-7334,
PLN,BENEFL,BENNYPL,New York Public Library,COI,COINS-ALL,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,COI,COINS-ALL,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,COI,COINS-ALL,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT2,DED-IN-FAMILY,20170101            ,20171231            ,,20180331            ,90,0.00,400.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-NONWELL-OUT,20180101            ,20181231            ,,30190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-NONWELL-OUT,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-WELL-OUT,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-WELL-OUT,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-WELL-OUT,20200101            ,20200102            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT3,DED-WELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COIN-NONWELL-OUT,20190101            ,20191231            ,,20200430            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COIN-OUTFAMILY,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COINS-NONWELL-OUT,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COINS-WELL-OUT,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COINS-WELL-OUT,20190101            ,20191231            ,,20200430            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,COINS-WELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,DED-NONWELL-OUT,20200101            ,20200102            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT4,DED-NONWELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT5,COINS-NONWELL-OUT,20200101            ,20200102            ,,20210331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DT5,COINS-NONWELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DTR,DED-IN-TRACK,20200101            ,20200102            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DTR,DED-IN-TRACKING,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DTR,DED-IN-TRACKING,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DTR,DED-NONWELL-IN,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,DTR,DED-OUT-FAMILY,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-IN-FAMILY,20170101            ,20171231            ,,20180331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-IN-SINGLE,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-NONWELL-IN,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-NONWELL-IN,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-NONWELL-IN,20200101            ,20200102            ,,20200102            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR2,DED-NONWELL-IN,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,COIN-IN,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-NONWELL-OUT,20180101            ,20181231            ,,30190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-NONWELL-OUT,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-NONWELL-OUT,20200101            ,20200102            ,,20200102            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-NONWELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-WELL-OUT,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-WELL-OUT,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-WELL-OUT,20200101            ,20200102            ,,20200102            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR3,DED-WELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COIN-OUT-FAMILY,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COIN-OUT-SINGLE,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-NONWELL-OUT,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-NONWELL-OUT,20190101            ,20191231            ,,20200430            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-NONWELL-OUT,20200101            ,20200102            ,,20200102            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-NONWELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-WELL-OUT,20180101            ,20181231            ,,20190331            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-WELL-OUT,20190101            ,20191231            ,,20200430            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-WELL-OUT,20200101            ,20200102            ,,20200102            ,,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HR4,COINS-WELL-OUT,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY-RETIREE,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY-RETIREE,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRA-COPAY-RETIREE,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRA,HRACOPAY,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRD,DED-IN-WELL,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRD,DED-IN-WELL,20190101            ,20191231            ,,20200430            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRD,DED-IN-WELL,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRD,DED-OUT-FAMILY,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,HRD,DED-OUT-SINGLE,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
PLN,BENEFL,BENNYPL,New York Public Library,MR2,EMERG-ROOM,20170101            ,20171231            ,,20180331            ,90,0.00,0.00
EMP,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,930554950,OAHHS,"4000 Kruse Way - Building 2, Suite 100",Lake Oswego,OR,97035,dzanotti@oahhs.org,503-479-6008,
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20120101            ,20121231            ,GRACE,20130415            ,90,0.00,5000.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20130101            ,20131231            ,GRACE,20140415            ,90,0.00,5000.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20140101            ,20141231            ,GRACE,20150430            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20170101            ,20171231            ,GRACE,20180430            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20180101            ,20181231            ,GRACE,20190430            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20190101            ,20191231            ,GRACE,20200415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,DCP,DCA,20200101            ,20201231            ,GRACE,20210415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20120101            ,20121231            ,GRACE,20130415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20130101            ,20131231            ,GRACE,20140415            ,90,0.00,2500.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20140101            ,20141231            ,GRACE,20150430            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20150101            ,20151231            ,GRACE,20160415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20160101            ,20161231            ,GRACE,20170415            ,90,0.00,0.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20170101            ,20171231            ,GRACE,20180430            ,90,0.00,2600.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20180101            ,20181231            ,GRACE,20190430            ,90,0.00,2650.10
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20190101            ,20191231            ,GRACE,20200415            ,90,0.00,2700.00
PLN,BENEFL,BENOAHHS,Oregon Assoc. of Hospitals & Health Syst,FSA,MED,20200101            ,20201231            ,GRACE,20210415            ,90,0.00,2750.00
EMP,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,133558266,401 Lafayette Street  4th Floor,,New York,NY,10003,corpasc@ocvarch.com,212-675-6470,
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HR2,HR2,20201101            ,20211031            ,,20220131            ,,0.00,0.00
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HRA,HRA,20161101            ,20171031            ,,20180131            ,90,0.00,0.00
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HRA,HRA,20171101            ,20181031            ,,20190131            ,90,0.00,0.00
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HRA,HRA,20181101            ,20191031            ,,20200131            ,90,0.00,0.00
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HRA,HRA,20191101            ,20201031            ,,20210131            ,90,0.00,0.00
PLN,BENEFL,BENOAKARC,Oaklander Coogan & Vitto Architects PC,HRA,HRA,20201101            ,20211031            ,,20220131            ,90,0.00,0.00
EMP,BENEFL,BENOAKHUR,Oakhurst Golf LLC,364177493,7000 Oakhurst Lane,,Clarkston,MI,48348,msmythe@oakhurstgolf.com,248-391-3300,
PLN,BENEFL,BENOAKHUR,Oakhurst Golf LLC,DCP,DCA,20170101            ,20171101            ,,20171101            ,90,0.00,5000.00
PLN,BENEFL,BENOAKHUR,Oakhurst Golf LLC,FSA,MED,20170101            ,20171101            ,,20171101            ,90,0.00,2600.00
EMP,BENEFL,BENOASIS,"Agency Oasis Stockholders, Inc.",816438444,c/o Martech Venture,101 Arch Street 21st Floor,Boston,MA,02110,jmcmahon@martechventures.com,617-548-2466,
PLN,BENEFL,BENOASIS,"Agency Oasis Stockholders, Inc.",HRA,HRA,20180101            ,20181231            ,,20190331            ,90,0.00,0.00
PLN,BENEFL,BENOASIS,"Agency Oasis Stockholders, Inc.",HRA,HRA,20190101            ,20191231            ,,20200331            ,90,0.00,0.00
PLN,BENEFL,BENOASIS,"Agency Oasis Stockholders, Inc.",HRA,HRA,20200101            ,20201231            ,,20210331            ,90,0.00,0.00
EMP,BENEFL,BENAMAC,"AMAC, Inc.",131974582,Association for Metroarea Autistic Children,25 West 17th Street,New York,NY,10011,michael.callahan@amac.org,212-645-5005,
PLN,BENEFL,BENAMAC,"AMAC, Inc.",DCP,DCA,20180701            ,20190630            ,,20190630            ,90,0.00,5000.00
PLN,BENEFL,BENAMAC,"AMAC, Inc.",FSA,MED,20180701            ,20190630            ,,20190630            ,90,0.00,2650.00
PLN,BENEFL,BENAMAC,"AMAC, Inc.",HRA,FAMILY-HIGH,20170701            ,20180630            ,,20180930            ,90,0.00,0.00
PLN,BENEFL,BENAMAC,"AMAC, Inc.",HRA,FAMILY-HIGH,20180701            ,20190630            ,,20190630            ,90,0.00,0.00
PLN,BENEFL,BENAMAC,"AMAC, Inc.",HRA,FAMILY-LOW,20170701            ,20180630            ,,20180930            ,90,0.00,0.00
PLN,BENEFL,BENAMAC,"AMAC, Inc.",HRA,FAMILY-LOW,20180701            ,20190630            ,,20190630            ,90,0.00,0.00
